,name,cmc,colors,subtypes,rarity,power,toughness
0,Cho-Manno Revolutionary,4.0,['W'],"['Human', 'Rebel']",Rare,2,2
1,Reya Dawnbringer,9.0,['W'],['Angel'],Rare,4,6
3,Ambassador Laquatus,3.0,['U'],"['Merfolk', 'Wizard']",Rare,1,3
4,Arcanis the Omnipotent,6.0,['U'],['Wizard'],Rare,3,4
5,Ascendant Evincar,6.0,['B'],"['Phyrexian', 'Vampire', 'Noble']",Rare,3,3
7,Phage the Untouchable,7.0,['B'],"['Avatar', 'Minion']",Rare,4,4
8,Kamahl Pit Fighter,6.0,['R'],"['Human', 'Barbarian']",Rare,6,1
10,Squee Goblin Nabob,3.0,['R'],['Goblin'],Rare,1,1
11,Mirri Cat Warrior,3.0,['G'],"['Cat', 'Warrior']",Rare,2,3
13,Molimo Maro-Sorcerer,7.0,['G'],['Elemental'],Rare,*,*
15,Emrakul the Aeons Torn,15.0,['UC'],['Eldrazi'],Mythic,15,15
16,Kozilek Butcher of Truth,10.0,['UC'],['Eldrazi'],Mythic,12,12
17,Ulamog the Infinite Gyre,11.0,['UC'],['Eldrazi'],Mythic,10,10
18,Emiel the Blessed,4.0,['W'],['Unicorn'],Mythic,4,4
19,Mikaeus the Lunarch,1.0,['W'],"['Human', 'Cleric']",Rare,0,0
20,Talrand Sky Summoner,4.0,['U'],"['Merfolk', 'Wizard']",Rare,2,2
21,Venser Shaper Savant,4.0,['U'],"['Human', 'Wizard']",Rare,2,2
22,Ob Nixilis Unshackled,6.0,['B'],['Demon'],Rare,4,4
23,Yahenni Undying Partisan,3.0,['B'],"['Aetherborn', 'Vampire']",Rare,2,2
24,Alesha Who Smiles at Death,3.0,['R'],"['Human', 'Warrior']",Rare,3,2
25,Rishkar Peema Renegade,3.0,['G'],"['Elf', 'Druid']",Rare,2,2
26,Animar Soul of Elements,3.0,"['G', 'R', 'U']",['Elemental'],Mythic,1,1
27,Arjun the Shifting Flame,6.0,"['R', 'U']","['Sphinx', 'Wizard']",Rare,5,5
28,Atla Palani Nest Tender,4.0,"['G', 'R', 'W']","['Human', 'Shaman']",Rare,2,3
29,Aurelia the Warleader,6.0,"['R', 'W']",['Angel'],Mythic,3,4
30,Child of Alara,5.0,"['B', 'G', 'R', 'U', 'W']",['Avatar'],Rare,6,6
31,Doran the Siege Tower,3.0,"['B', 'G', 'W']","['Treefolk', 'Shaman']",Rare,0,5
32,Dragonlord Dromoka,6.0,"['G', 'W']","['Elder', 'Dragon']",Mythic,5,7
33,Dragonlord Silumgar,6.0,"['B', 'U']","['Elder', 'Dragon']",Mythic,3,5
34,Elenda the Dusk Rose,4.0,"['B', 'W']","['Vampire', 'Knight']",Mythic,1,1
35,Elsha of the Infinite,5.0,"['R', 'U', 'W']","['Djinn', 'Monk']",Rare,3,3
36,Ezuri Claw of Progress,4.0,"['G', 'U']","['Phyrexian', 'Elf', 'Warrior']",Mythic,3,3
37,Firesong and Sunspeaker,6.0,"['R', 'W']","['Minotaur', 'Cleric']",Rare,4,6
38,Ghave Guru of Spores,5.0,"['B', 'G', 'W']","['Fungus', 'Shaman']",Mythic,0,0
39,Grand Arbiter Augustin IV,4.0,"['U', 'W']","['Human', 'Advisor']",Rare,2,3
40,Intet the Dreamer,6.0,"['G', 'R', 'U']",['Dragon'],Rare,6,6
41,Jodah Archmage Eternal,4.0,"['R', 'U', 'W']","['Human', 'Wizard']",Rare,4,3
42,Judith the Scourge Diva,3.0,"['B', 'R']","['Human', 'Shaman']",Rare,2,2
43,Kaalia of the Vast,4.0,"['B', 'R', 'W']","['Human', 'Cleric']",Mythic,2,2
44,Kaervek the Merciless,7.0,"['B', 'R']","['Human', 'Shaman']",Rare,5,4
45,Kambal Consul of Allocation,3.0,"['B', 'W']","['Human', 'Advisor']",Rare,2,3
46,Karador Ghost Chieftain,8.0,"['B', 'G', 'W']","['Centaur', 'Spirit']",Mythic,3,4
47,Marchesa the Black Rose,4.0,"['B', 'R', 'U']","['Human', 'Wizard']",Rare,3,3
48,Mathas Fiend Seeker,3.0,"['B', 'R', 'W']",['Vampire'],Rare,3,3
49,The Mimeoplasm,5.0,"['B', 'G', 'U']",['Ooze'],Rare,0,0
50,Mizzix of the Izmagnus,4.0,"['R', 'U']","['Goblin', 'Wizard']",Mythic,2,2
51,Muldrotha the Gravetide,6.0,"['B', 'G', 'U']","['Elemental', 'Avatar']",Mythic,6,6
52,Rafiq of the Many,4.0,"['G', 'U', 'W']","['Human', 'Knight']",Rare,3,3
53,Roon of the Hidden Realm,5.0,"['G', 'U', 'W']","['Rhino', 'Soldier']",Rare,4,4
54,Ruric Thar the Unbowed,6.0,"['G', 'R']","['Ogre', 'Warrior']",Rare,6,6
55,Sedris the Traitor King,6.0,"['B', 'R', 'U']","['Zombie', 'Warrior']",Mythic,5,5
56,Shattergang Brothers,4.0,"['B', 'G', 'R']","['Goblin', 'Artificer']",Rare,3,3
57,Sidisi Brood Tyrant,4.0,"['B', 'G', 'U']","['Naga', 'Shaman']",Rare,3,3
58,Skullbriar the Walking Grave,2.0,"['B', 'G']","['Zombie', 'Elemental']",Rare,1,1
59,Tariel Reckoner of Souls,7.0,"['B', 'R', 'W']",['Angel'],Rare,4,7
60,Teneb the Harvester,6.0,"['B', 'G', 'W']",['Dragon'],Rare,6,6
61,Thraximundar,7.0,"['B', 'R', 'U']","['Zombie', 'Assassin']",Rare,6,6
62,Ulasht the Hate Seed,4.0,"['G', 'R']","['Hellion', 'Hydra']",Rare,0,0
63,Uril the Miststalker,5.0,"['G', 'R', 'W']",['Beast'],Mythic,5,5
64,Varina Lich Queen,4.0,"['B', 'U', 'W']","['Zombie', 'Wizard']",Rare,4,4
65,Wasitora Nekoru Queen,5.0,"['B', 'G', 'R']","['Cat', 'Dragon']",Rare,5,4
66,Zur the Enchanter,4.0,"['B', 'U', 'W']","['Human', 'Wizard']",Rare,1,4
133,Avacyn Angel of Hope,8.0,['W'],['Angel'],Mythic,8,8
134,Kemba Kha Regent,3.0,['W'],"['Cat', 'Cleric']",Rare,2,4
135,Arcum Dagsson,4.0,['U'],"['Human', 'Artificer']",Mythic,2,2
136,Braids Conjurer Adept,4.0,['U'],"['Human', 'Wizard']",Rare,2,2
137,Geth Lord of the Vault,6.0,['B'],"['Phyrexian', 'Zombie']",Mythic,5,5
138,Skithiryx the Blight Dragon,5.0,['B'],"['Phyrexian', 'Dragon', 'Skeleton']",Mythic,4,4
139,Godo Bandit Warlord,6.0,['R'],"['Human', 'Barbarian']",Rare,3,3
140,Tuktuk the Explorer,3.0,['R'],['Goblin'],Rare,1,1
141,Arixmethes Slumbering Isle,4.0,"['G', 'U']",['Kraken'],Rare,12,12
142,Atraxa Praetors' Voice,4.0,"['B', 'G', 'U', 'W']","['Phyrexian', 'Angel', 'Horror']",Mythic,4,4
143,Breya Etherium Shaper,4.0,"['B', 'R', 'U', 'W']",['Human'],Mythic,4,4
144,Brudiclad Telchor Engineer,6.0,"['R', 'U']","['Phyrexian', 'Artificer']",Rare,4,4
145,Geist of Saint Traft,3.0,"['U', 'W']","['Spirit', 'Cleric']",Mythic,2,2
146,Hanna Ship's Navigator,3.0,"['U', 'W']","['Human', 'Artificer']",Rare,1,2
